Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Change in Working Capital;Change in Accounts Receivable;Change in Inventories;Change in Accounts Payable;Change in Other;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Long Term Investment;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Net Change in Cash
A;45846;USD;2020;Q3;2020-07-31;2020-09-01;2021-06-01;309000000;312000000;199000000;77000000;34000000;-20000000;-24000000;-1000000;-25000000;30000000;290000000;-24000000;;;-32000000;-56000000;-161000000;-9000000;-231000000;35000000
A;45846;USD;2020;Q4;2020-10-31;2020-12-18;2021-09-01;308000000;311000000;222000000;76000000;61000000;18000000;;;;;377000000;-27000000;;;-27000000;-55000000;35000000;-246000000;-269000000;83000000
A;45846;USD;2021;Q1;2021-01-31;2021-03-02;2022-03-03;306000000;309000000;288000000;76000000;80000000;-206000000;-31000000;-35000000;43000000;-183000000;238000000;-41000000;;;-42000000;-59000000;134000000;-319000000;-316000000;-111000000
A;45846;USD;2021;Q2;2021-04-30;2021-06-01;2022-03-03;306000000;306000000;216000000;77000000;37000000;142000000;14000000;-45000000;8000000;165000000;472000000;-31000000;;-547000000;-587000000;-59000000;427000000;-194000000;166000000;51000000
A;45846;USD;2021;Q3;2021-07-31;2021-09-01;2022-05-31;303000000;306000000;264000000;84000000;29000000;-43000000;;;;;334000000;-54000000;;0;-61000000;-59000000;-75000000;-87000000;-222000000;48000000
A;45846;USD;2021;Q4;2021-10-31;2021-12-17;2022-09-01;305000000;307000000;442000000;84000000;-90000000;5000000;;;;;441000000;-61000000;12000000;0;-59000000;-59000000;-130000000;-133000000;-324000000;55000000
A;45846;USD;2022;Q1;2022-01-31;2022-03-03;2023-03-03;301000000;303000000;283000000;82000000;123000000;-233000000;;;;;255000000;-75000000;;;-76000000;-63000000;0;-420000000;-546000000;-371000000
A;45846;USD;2022;Q2;2022-04-30;2022-05-31;2023-03-03;299000000;301000000;274000000;82000000;23000000;-96000000;;;;;283000000;-64000000;6000000;-18000000;-76000000;-63000000;175000000;-234000000;-123000000;72000000
A;45846;USD;2022;Q3;2022-07-31;2022-09-01;2023-05-26;298000000;299000000;329000000;80000000;48000000;-131000000;;;;;326000000;-82000000;16000000;0;-76000000;-62000000;-4000000;-295000000;-362000000;-118000000
A;45846;USD;2022;Q4;2022-10-31;2022-12-21;2023-08-31;318000000;325000000;368000000;73000000;25000000;-18000000;;;;;448000000;-70000000;-13000000;-34000000;-106000000;-62000000;-149000000;-132000000;-345000000;-17000000
A;45846;USD;2023;Q1;2023-01-31;2023-03-03;2024-03-05;296000000;298000000;352000000;67000000;67000000;-190000000;;;;;296000000;-76000000;4000000;-30000000;-103000000;-67000000;205000000;-40000000;-18000000;197000000
A;45846;USD;2023;Q2;2023-04-30;2023-05-26;2024-03-05;296000000;297000000;302000000;71000000;32000000;-7000000;;;;;398000000;-57000000;1000000;-21000000;-77000000;-66000000;-236000000;-85000000;-390000000;-75000000
A;45846;USD;2023;Q3;2023-07-31;2023-08-31;2024-06-03;294000000;295000000;111000000;71000000;251000000;129000000;;;;;562000000;-81000000;0;0;-83000000;-66000000;55000000;-305000000;-328000000;154000000
A;45846;USD;2023;Q4;2023-10-31;2023-12-20;2024-08-30;290000000;294000000;475000000;62000000;27000000;-48000000;;;;;516000000;-84000000;-8000000;50000000;-39000000;-66000000;-67000000;-78000000;-202000000;261000000
