Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
A;45846;USD;2020;Q3;2020-07-31;2020-09-01;2021-09-01;309000000;312000000;1261000000;-592000000;669000000;-439000000;-347000000;-92000000;;230000000;-11000000;-18000000;219000000;;219000000;-20000000;199000000;;199000000;199000000
A;45846;USD;2020;Q4;2020-10-31;2020-12-18;2021-09-01;308000000;311000000;1483000000;-695000000;788000000;-489000000;-387000000;-102000000;;299000000;-16000000;-18000000;283000000;;283000000;-61000000;222000000;;222000000;222000000
A;45846;USD;2021;Q1;2021-01-31;2021-03-02;2022-03-03;306000000;309000000;1548000000;-710000000;838000000;-510000000;-407000000;-103000000;;328000000;-16000000;-19000000;312000000;;312000000;-24000000;288000000;;288000000;288000000
A;45846;USD;2021;Q2;2021-04-30;2021-06-01;2022-05-31;306000000;306000000;1525000000;-708000000;817000000;-529000000;-420000000;-109000000;;288000000;-15000000;-19000000;273000000;;273000000;-57000000;216000000;;216000000;216000000
A;45846;USD;2021;Q3;2021-07-31;2021-09-01;2022-09-01;303000000;306000000;1586000000;-734000000;852000000;-516000000;-403000000;-113000000;;336000000;-9000000;-21000000;327000000;;327000000;-63000000;264000000;;264000000;264000000
A;45846;USD;2021;Q4;2021-10-31;2021-12-17;2022-09-01;305000000;307000000;1660000000;-760000000;900000000;-505000000;-389000000;-116000000;;395000000;53000000;-20000000;448000000;;448000000;-6000000;442000000;;442000000;442000000
A;45846;USD;2022;Q1;2022-01-31;2022-03-03;2023-03-03;301000000;303000000;1674000000;-764000000;910000000;-534000000;-417000000;-117000000;;376000000;-57000000;-20000000;319000000;;319000000;-36000000;283000000;;283000000;283000000
A;45846;USD;2022;Q2;2022-04-30;2022-05-31;2023-05-26;299000000;301000000;1607000000;-746000000;861000000;-501000000;-386000000;-115000000;;360000000;-27000000;-20000000;333000000;;333000000;-59000000;274000000;;274000000;274000000
A;45846;USD;2022;Q3;2022-07-31;2022-09-01;2023-08-31;298000000;299000000;1718000000;-779000000;939000000;-528000000;-412000000;-116000000;;411000000;-14000000;-17000000;397000000;;397000000;-68000000;329000000;;329000000;329000000
A;45846;USD;2022;Q4;2022-10-31;2022-12-21;2023-08-31;318000000;325000000;1849000000;-837000000;1012000000;-541000000;-422000000;-119000000;;471000000;-16000000;-18000000;455000000;;455000000;-87000000;368000000;;368000000;368000000
A;45846;USD;2023;Q1;2023-01-31;2023-03-03;2024-03-05;296000000;298000000;1756000000;-788000000;968000000;-542000000;-419000000;-123000000;;426000000;-16000000;-16000000;410000000;;410000000;-58000000;352000000;;352000000;352000000
A;45846;USD;2023;Q2;2023-04-30;2023-05-26;2024-06-03;296000000;297000000;1717000000;-793000000;924000000;-541000000;-415000000;-126000000;;383000000;-6000000;-12000000;377000000;;377000000;-75000000;302000000;;302000000;302000000
A;45846;USD;2023;Q3;2023-07-31;2023-08-31;2024-08-30;294000000;295000000;1672000000;-1014000000;658000000;-525000000;-407000000;-118000000;;133000000;-1000000;-11000000;132000000;;132000000;-21000000;111000000;;111000000;111000000
